Minimum(Ph),Maximum(Ph),Average(PH),Minimum(pt),Maximum(Pt),Average(Pt),Minimum(ct),Maximum(ct),Average(ct),Minimum(ic),Maximum(ic),Average(ic),Minimum(d),Maximum(d),Average(d),Minimum(O),Maximum(O),Average(0),
2,10,6,300,800,550,0.5,5760,2880.25,2.5,60,31.25,1.5,3.5,2.5,21,95,58,
2,6,4,300,500,400,0.5,350,175.25,100,200,150,0.01,0.012,0.011,31.5,97.8,64.65,
1,10,5.5,300,900,600,10,1440,725,150,250,200,0.25,1.25,0.75,21,99,60,
2,9,5.5,300,600,450,0.5,3000,1500.25,10,60,35,0.01,5,2.505,21,91.6,56.3,
3,9,6,300,800,550,0.5,3000,1500.25,10,100,55,0.01,5,2.505,21,99,60,
3,8,5.5,600,800,700,0.5,2880,1440.25,5,500,252.5,0.01,1,0.505,21,99,60,
2,9,5.5,300,900,600,0.5,500,250.25,5,500,252.5,0.02,1,0.51,21,65,43,
3,10,0,300,500,400,0.5,500,250.25,20,400,210,0.01,0.1,0.055,21,99,60,
3,10,6.5,300,700,500,1,2880,1440.5,10,80,45,0.25,2,1.125,21,99,60,
2,12,7,300,500,400,0.5,1500,750.25,5,500,252.5,0.01,5,2.505,21,99,60,
4,9,6.5,300,700,500,0.5,4320,2160.25,10,100,55,0.01,5,2.505,21,99,60,
2,11,6.5,300,800,550,0.5,120,60.25,10,200,105,0.01,5,2.505,21,99,60,
1,10,5.5,300,500,400,0.5,2200,1100.25,60,200,130,0.01,5,2.505,21,90,55.5,
2,12,7,300,500,400,0.5,180,90.25,20,200,110,0.01,5,2.505,21,99,60,
1,12,6.5,300,500,400,120,840,480,20,200,110,0.05,0.6,0.325,20,80,50,
3,11,7,300,500,400,10,240,125,50,200,125,0.01,5,2.505,60,90,75,
1.5,8.5,5,300,500,400,0.5,500,250.25,100,200,150,0.03,0.3,0.165,20,100,60,
3,9,6,300,500,400,0.5,180,90.25,10,50,30,0.01,5,2.505,50,93,71.5,
2,11,6.5,300,500,400,0.5,50,25.25,5,50,27.5,0.01,1,0.505,95,98,96.5,
2,7,4.5,300,500,400,5,20,12.5,5,500,252.5,0.01,5,2.505,21,85,53,
2,6.5,4.25,300,500,400,100,520,310,5,500,252.5,0.01,5,2.505,21,90,55.5,
2,12,7,300,500,400,0.5,180,90.25,10,500,255,0.01,5,2.505,21,99,60,
2,10,6,300,500,400,0.5,500,250.25,60,300,180,0.01,5,2.505,21,95,58,
6,6.5,6.25,300,500,400,0.5,500,250.25,200,600,400,0.01,5,2.505,21,99,60,
2,12,7,300,500,400,5,240,122.5,20,240,130,0.01,0.15,0.08,5,75,40,
3,11,7,300,700,500,10,420,215,25,100,62.5,0.25,2.7,1.475,20,90,55,
3,11,7,300,500,400,0.5,120,60.25,20,100,60,0.002,0.016,0.009,35,97,66,
1,12,6.5,300,700,500,0.5,720,360.25,5,10,7.5,1,4,2.5,10,90,50,
4,11,7.5,300,600,450,30,10080,5055,5,30,17.5,0.01,5,2.505,21,99,60,
3,11,7,300,800,550,120,1440,780,2.5,30,16.25,0.01,5,2.505,21,88.21,54.605,
3,7,5,300,800,550,5,1440,722.5,50,800,425,0.01,5,2.505,21,86,53.5,
5,7,6,400,600,500,0.5,360,180.25,30,200,115,0.01,5,2.505,21,99,60,
2,11,6.5,300,600,450,0.5,1440,720.25,30,300,165,0.01,5,2.505,40,80,60,
2,12,7,450,500,475,0.5,18000,9000.25,5,500,252.5,0.01,0.1,0.055,21,99,60,
3,11,7,300,500,400,0.5,60,30.25,50,100,75,0.4,1.6,1,35,90,62.5,
2,8,5,300,500,400,120,1080,600,100,200,150,0.4,0.8,0.6,21,98,59.5,
1,11,6,300,500,400,0.5,500,250.25,5,20,12.5,0.01,5,2.505,21,99,60,
2,10,6,300,300,300,0.5,400,200.25,5,50,27.5,0.2,2.5,1.35,10,70,40,
2,8,5,300,600,450,0.5,1200,600.25,5,200,102.5,0.01,0.65,0.33,21,99,60,
3,6.8,4.9,300,600,450,5,300,152.5,25,1000,512.5,0.01,0.2,0.105,43,98,70.5,
2,10,6,300,500,400,0.5,900,450.25,20,500,260,0.01,0.2,0.105,21,99,60,
